Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,2418.000000,2475.000000,2412.550049,2469.800049,2469.800049,3168194
2022-11-01,2480.000000,2518.000000,2474.949951,2506.199951,2506.199951,2913438
2022-11-02,2498.149902,2523.199951,2493.449951,2508.000000,2508.000000,2438809
2022-11-03,2478.600098,2514.000000,2476.750000,2489.399902,2489.399902,2582845
2022-11-04,2480.000000,2512.000000,2469.199951,2486.649902,2486.649902,1887494
2022-11-07,2500.000000,2510.000000,2471.000000,2507.399902,2507.399902,2656747
2022-11-09,2496.100098,2514.199951,2495.449951,2503.500000,2503.500000,2907326
2022-11-10,2480.199951,2508.399902,2467.800049,2504.100098,2504.100098,2403520
2022-11-11,2526.000000,2688.000000,2523.050049,2651.699951,2651.699951,9663942
2022-11-14,2665.000000,2688.000000,2638.000000,2661.550049,2661.550049,3589891
2022-11-15,2665.500000,2682.000000,2639.050049,2675.500000,2675.500000,2104269
2022-11-16,2650.000000,2714.300049,2650.000000,2697.199951,2697.199951,3723194
2022-11-17,2679.000000,2705.000000,2651.500000,2659.250000,2659.250000,2590306
2022-11-18,2664.000000,2671.649902,2643.050049,2667.050049,2667.050049,2336913
2022-11-21,2648.000000,2654.899902,2613.800049,2618.899902,2618.899902,2763479
2022-11-22,2619.000000,2634.899902,2608.100098,2625.350098,2625.350098,1961553
2022-11-23,2644.000000,2651.000000,2624.000000,2637.449951,2637.449951,2025693
2022-11-24,2650.000000,2700.000000,2642.000000,2689.050049,2689.050049,2179610
2022-11-25,2697.899902,2697.899902,2664.100098,2681.350098,2681.350098,1810808
2022-11-28,2650.000000,2672.000000,2635.899902,2658.699951,2658.699951,2152483
2022-11-29,2658.000000,2681.500000,2645.550049,2665.250000,2665.250000,2624497
2022-11-30,2675.000000,2700.000000,2666.350098,2692.550049,2692.550049,5491305
2022-12-01,2714.949951,2728.149902,2688.600098,2700.949951,2700.949951,3011653
2022-12-02,2672.000000,2684.949951,2663.000000,2665.300049,2665.300049,2710648
2022-12-05,2659.050049,2681.000000,2636.050049,2675.800049,2675.800049,3267404
2022-12-06,2650.500000,2692.550049,2650.500000,2684.100098,2684.100098,2586817
2022-12-07,2677.100098,2682.949951,2650.000000,2659.850098,2659.850098,2465806
2022-12-08,2652.000000,2674.399902,2647.449951,2664.800049,2664.800049,2708472
2022-12-09,2672.300049,2682.800049,2656.649902,2672.100098,2672.100098,2556413
2022-12-12,2651.100098,2702.000000,2651.100098,2685.750000,2685.750000,3387144
2022-12-13,2693.800049,2707.000000,2690.000000,2702.600098,2702.600098,1582885
2022-12-14,2710.500000,2734.899902,2704.800049,2729.350098,2729.350098,2534258
2022-12-15,2725.899902,2732.649902,2666.899902,2672.350098,2672.350098,2102582
2022-12-16,2651.750000,2678.199951,2632.100098,2667.449951,2667.449951,3188884
2022-12-19,2665.600098,2714.000000,2665.149902,2710.550049,2710.550049,2218644
2022-12-20,2680.600098,2705.000000,2677.750000,2700.300049,2700.300049,2239771
2022-12-21,2704.000000,2711.649902,2643.899902,2656.850098,2656.850098,2043280
2022-12-22,2671.000000,2671.000000,2636.199951,2644.449951,2644.449951,2337299
2022-12-23,2616.000000,2630.850098,2605.000000,2623.050049,2623.050049,3137007
2022-12-26,2624.550049,2680.000000,2616.100098,2665.100098,2665.100098,1157742
2022-12-27,2672.800049,2672.800049,2648.250000,2669.100098,2669.100098,1524310
2022-12-28,2664.000000,2676.550049,2659.149902,2671.300049,2671.300049,2022368
2022-12-29,2655.000000,2679.899902,2632.699951,2675.399902,2675.399902,1953701
2022-12-30,2687.350098,2688.800049,2627.350098,2637.600098,2637.600098,2344289
2023-01-02,2626.100098,2659.149902,2626.100098,2652.399902,2652.399902,1106318
2023-01-03,2643.250000,2672.800049,2638.500000,2664.699951,2664.699951,2262464
2023-01-04,2659.000000,2670.000000,2615.500000,2625.699951,2625.699951,2125220
2023-01-05,2638.000000,2644.300049,2606.199951,2621.600098,2621.600098,2910551
2023-01-06,2627.000000,2635.000000,2590.000000,2596.000000,2596.000000,1813292
2023-01-09,2600.899902,2629.949951,2591.050049,2615.899902,2615.899902,2895579
2023-01-10,2612.100098,2615.850098,2563.000000,2575.350098,2575.350098,1990190
2023-01-11,2566.000000,2605.199951,2547.050049,2594.850098,2594.850098,1910362
2023-01-12,2595.699951,2621.600098,2593.100098,2612.800049,2612.800049,2723696
2023-01-13,2608.000000,2631.100098,2590.600098,2621.649902,2621.649902,3378677
2023-01-16,2648.000000,2648.000000,2585.149902,2594.800049,2594.800049,2756714
2023-01-17,2593.100098,2643.899902,2587.600098,2640.649902,2640.649902,2108385
2023-01-18,2640.100098,2691.350098,2629.449951,2687.649902,2687.649902,3867408
2023-01-19,2685.000000,2700.000000,2670.399902,2691.699951,2691.699951,2408731
2023-01-20,2692.000000,2732.000000,2691.050049,2715.949951,2715.949951,1910649
2023-01-23,2725.000000,2750.850098,2715.949951,2741.899902,2741.899902,1868514
2023-01-24,2748.000000,2780.000000,2737.100098,2775.399902,2775.399902,3536820
2023-01-25,2764.000000,2769.949951,2700.449951,2710.600098,2710.600098,2282790
2023-01-27,2699.000000,2699.000000,2615.600098,2661.500000,2661.500000,4153948
2023-01-30,2646.300049,2661.000000,2597.250000,2648.199951,2648.199951,4429082
2023-01-31,2650.000000,2654.500000,2605.500000,2622.949951,2622.949951,5721836
2023-02-01,2650.000000,2729.850098,2620.500000,2661.699951,2661.699951,4406327
2023-02-02,2622.649902,2649.850098,2591.300049,2613.300049,2613.300049,3773664
2023-02-03,2615.000000,2698.000000,2609.949951,2694.649902,2694.649902,4067801
2023-02-06,2692.000000,2707.699951,2671.550049,2683.149902,2683.149902,2364396
2023-02-07,2684.399902,2694.899902,2654.000000,2679.199951,2679.199951,2494047
2023-02-08,2676.350098,2704.000000,2675.000000,2685.800049,2685.800049,2202728
2023-02-09,2690.000000,2692.449951,2655.000000,2673.250000,2673.250000,2285661
2023-02-10,2668.000000,2693.399902,2659.850098,2688.699951,2688.699951,1505925
2023-02-13,2680.000000,2702.899902,2665.800049,2699.850098,2699.850098,2609749
2023-02-14,2711.000000,2720.000000,2691.050049,2718.750000,2718.750000,2874322
2023-02-15,2709.500000,2718.850098,2683.149902,2703.899902,2703.899902,3367150
2023-02-16,2715.600098,2724.800049,2693.800049,2700.500000,2700.500000,2506632
2023-02-17,2695.000000,2700.000000,2670.050049,2693.600098,2693.600098,2247198
2023-02-20,2696.949951,2705.000000,2648.800049,2655.899902,2655.899902,1557675
2023-02-21,2662.000000,2689.899902,2649.199951,2666.399902,2666.399902,2778630
2023-02-22,2654.050049,2664.449951,2608.250000,2617.300049,2617.300049,2949868
2023-02-23,2606.000000,2617.600098,2581.649902,2600.500000,2600.500000,4026994
2023-02-24,2615.000000,2617.750000,2570.250000,2577.149902,2577.149902,3747521
2023-02-27,2569.300049,2602.000000,2558.250000,2592.149902,2592.149902,2668852
2023-02-28,2560.000000,2622.050049,2560.000000,2609.449951,2609.449951,5698126
2023-03-01,2626.000000,2627.850098,2607.300049,2618.300049,2618.300049,1678043
2023-03-02,2606.500000,2626.949951,2595.199951,2603.100098,2603.100098,2060644
2023-03-03,2629.100098,2660.000000,2606.699951,2646.100098,2646.100098,2998160
2023-03-06,2658.000000,2693.000000,2653.750000,2674.750000,2674.750000,3813040
2023-03-08,2670.000000,2696.800049,2663.000000,2679.449951,2679.449951,3598957
2023-03-09,2679.449951,2692.000000,2662.100098,2667.100098,2667.100098,1963425
2023-03-10,2648.000000,2649.949951,2588.100098,2608.899902,2608.899902,4394741
2023-03-13,2610.000000,2626.500000,2566.000000,2575.250000,2575.250000,2665484
2023-03-14,2571.100098,2595.449951,2550.000000,2557.449951,2557.449951,3613916
2023-03-15,2579.949951,2586.600098,2520.250000,2528.850098,2528.850098,1770763
2023-03-16,2534.000000,2548.149902,2502.050049,2531.600098,2531.600098,3940604
2023-03-17,2547.300049,2579.399902,2513.500000,2564.149902,2564.149902,4979214
2023-03-20,2577.000000,2577.000000,2532.100098,2554.699951,2554.699951,2692196
2023-03-21,2570.000000,2584.000000,2552.149902,2580.699951,2580.699951,2862486
2023-03-22,2589.000000,2591.399902,2568.050049,2584.199951,2584.199951,2039713
2023-03-23,2568.550049,2600.000000,2556.600098,2569.850098,2569.850098,2493899
2023-03-24,2555.149902,2586.600098,2545.100098,2559.899902,2559.899902,2114450
2023-03-27,2565.000000,2579.399902,2551.100098,2561.899902,2561.899902,2999513
2023-03-28,2565.000000,2584.000000,2560.100098,2580.149902,2580.149902,2445804
2023-03-29,2586.000000,2614.000000,2578.949951,2603.050049,2603.050049,3930726
2023-03-31,2615.000000,2632.000000,2592.050049,2625.500000,2625.500000,4953387
2023-04-03,2627.399902,2634.800049,2610.149902,2628.949951,2628.949951,4481415
2023-04-05,2615.500000,2710.050049,2615.500000,2705.949951,2705.949951,5890726
2023-04-06,2700.000000,2734.800049,2691.050049,2729.300049,2729.300049,5286740
2023-04-10,2725.000000,2748.149902,2714.850098,2727.750000,2727.750000,3000562
2023-04-11,2729.000000,2747.000000,2716.850098,2742.000000,2742.000000,5030066
2023-04-12,2750.000000,2774.399902,2743.000000,2769.250000,2769.250000,2508834
2023-04-13,2770.000000,2791.949951,2765.149902,2786.850098,2786.850098,5191333
2023-04-17,2827.949951,2827.949951,2718.600098,2742.050049,2742.050049,4953106
2023-04-18,2751.000000,2754.699951,2718.600098,2723.699951,2723.699951,5850769
2023-04-19,2734.000000,2748.699951,2725.600098,2744.800049,2744.800049,1756973
2023-04-20,2744.699951,2756.550049,2730.550049,2743.000000,2743.000000,2501893
2023-04-21,2735.500000,2763.550049,2735.399902,2759.399902,2759.399902,1719725
2023-04-24,2769.949951,2791.199951,2759.850098,2787.550049,2787.550049,2797335
2023-04-25,2782.000000,2792.000000,2749.250000,2757.000000,2757.000000,4575039
2023-04-26,2751.300049,2767.300049,2741.000000,2761.449951,2761.449951,2247289
2023-04-27,2752.600098,2781.000000,2749.250000,2772.899902,2772.899902,3347433
2023-04-28,2772.000000,2780.850098,2753.600098,2775.600098,2775.600098,4660013
2023-05-02,2791.500000,2804.000000,2776.199951,2790.000000,2790.000000,5377606
2023-05-03,2780.000000,2793.800049,2770.649902,2787.750000,2787.750000,1990165
2023-05-04,2785.000000,2867.000000,2779.949951,2862.050049,2862.050049,4703010
2023-05-05,2719.000000,2758.000000,2697.000000,2702.300049,2702.300049,8824448
2023-05-08,2713.000000,2744.800049,2710.199951,2735.600098,2735.600098,5921220
2023-05-09,2743.000000,2767.000000,2736.850098,2750.050049,2750.050049,5048926
2023-05-10,2749.000000,2755.649902,2733.500000,2752.649902,2752.649902,1920538
2023-05-11,2766.500000,2776.149902,2753.649902,2767.149902,2767.149902,2282342
