,company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,stck_ann,next_day
387,Kotak Mahindra Bank Ltd.,2016-12-30 00:00:00,719.05,1839261817,3,2016,44676.1,44980.7,8797.6,2017-01-25 18:54:27,0,,
388,Bajaj Finance Ltd.,2016-12-30 00:00:00,839.25,547971900,3,2016,26882.3,21442.8,5556.5,2017-01-30 00:00:00,0,,
389,Bajaj Finserv Ltd.,2016-12-30 00:00:00,289.42,159131780,3,2016,227,190.6,63.2,2017-01-30 00:00:00,0,,
390,I C I C I Bank Ltd.,2016-12-30 00:00:00,232.09,5820605280,3,2016,136181,151145.9,24418.2,2017-02-01 15:38:36,0,,
391,Bank Of Baroda,2016-12-30 00:00:00,152.85,2304159598,3,2016,104060.8,119283.7,2526.7,2017-02-11 00:00:00,0,,
392,Max Financial Services Ltd.,2016-12-30 00:00:00,548.5,267270049,3,2016,1032.1,230.1,804.9,2017-02-11 17:20:51,0,,
393,State Bank Of India,2016-12-30 00:00:00,249.75,7973504442,3,2016,439255.9,509775.1,26100,2017-02-16 21:11:50,0,,
394,L I C Housing Finance Ltd.,2017-03-31 00:00:00,615.65,504663000,4,2016,36428.7,31326.7,5291.9,2017-04-26 15:14:19,1,,
395,Canara Bank,2017-03-31 00:00:00,303,597290159,4,2016,104929.2,126750.2,2141.8,2017-05-16 00:00:00,0,,
396,Bajaj Finance Ltd.,2017-03-31 00:00:00,1174.1,549890090,4,2016,26618.1,22205.7,4491.5,2017-05-17 00:00:00,0,,
397,Bajaj Finserv Ltd.,2017-03-31 00:00:00,408.78,159131780,4,2016,238.8,205.2,63.5,2017-05-17 00:00:00,0,,
398,Kotak Mahindra Bank Ltd.,2017-03-31 00:00:00,872.1,1840897877,4,2016,44320,44581.7,9764.8,2017-05-17 11:07:26,0,,
399,Bank Of Baroda,2017-03-31 00:00:00,172.95,2304159598,4,2016,108751.6,126977.2,1547.2,2017-05-24 00:00:00,0,,
400,State Bank Of India,2017-03-31 00:00:00,292.6,7973504442,4,2016,473925.7,549052.5,28148.2,2017-05-27 16:20:05,0,,
401,I C I C I Bank Ltd.,2017-03-31 00:00:00,251.91,5824476135,4,2016,135685.3,155421.9,20246.4,2017-06-16 14:33:40,0,,
402,Max Financial Services Ltd.,2017-03-31 00:00:00,576.6,267270049,4,2016,70.2,276.2,-204.9,2017-06-17 15:00:02,0,,
403,Housing Development Finance Corpn. Ltd.,2017-03-31 00:00:00,1502.4,1588672140,4,2016,84534.1,64703.1,20442,2017-06-18 12:45:09,0,,
404,H D F C Bank Ltd.,2017-03-31 00:00:00,721.15,2562545717,4,2016,181144,175705.7,39900.9,2017-06-18 12:45:09,0,,
