,company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,stck_ann,next_day
239,Bank Of Baroda,2013-06-28 00:00:00,114.9,421256303,1,2013,94869.4,95496.2,11678.7,2013-08-06 00:00:00,0,,
240,State Bank Of India,2013-06-28 00:00:00,195.36,684033971,1,2013,317183.3,329515.4,32410.8,2013-08-16 15:53:03,0,,
241,L I C Housing Finance Ltd.,2013-06-28 00:00:00,254.75,504663000,1,2013,21488.7,18674.3,3105.1,2013-08-16 16:25:05,0,,
242,Max Financial Services Ltd.,2013-06-28 00:00:00,200,265936039,1,2013,2787.4,1876.5,1011.4,2013-08-17 17:17:02,0,,
243,Bajaj Finserv Ltd.,2013-09-30 00:00:00,60.6,159122352,2,2013,804.8,269.2,563.6,2013-10-15 00:00:00,1,,
244,Housing Development Finance Corpn. Ltd.,2013-09-30 00:00:00,763.55,1558160055,2,2013,58591.9,46876.5,12663.3,2013-10-15 16:41:01,0,,
245,H D F C Bank Ltd.,2013-09-30 00:00:00,296.85,2391248160,2,2013,100933.4,99553.7,19823.2,2013-10-15 16:41:01,0,,
246,Kotak Mahindra Bank Ltd.,2013-06-28 00:00:00,360.63,767251207,1,2013,21900.1,22502.1,4028.2,2013-10-25 12:05:02,0,,
247,I C I C I Bank Ltd.,2013-09-30 00:00:00,160.9,1154394745,2,2013,108132.7,106277,23520.5,2013-11-05 12:05:02,0,,
248,L I C Housing Finance Ltd.,2013-09-30 00:00:00,187.95,504663000,2,2013,22465.1,19923.4,3100.7,2013-11-05 18:57:02,0,,
249,Bank Of Baroda,2013-09-30 00:00:00,98.72,421256303,2,2013,94734.5,92792.1,11681,2013-11-16 00:00:00,0,,
250,Max Financial Services Ltd.,2013-09-30 00:00:00,190.95,265936039,2,2013,2106.4,2119.7,19.9,2013-11-18 16:17:01,0,,
251,Canara Bank,2013-09-30 00:00:00,215.3,443000000,2,2013,96544.8,98015.4,6259.4,2013-11-19 16:25:02,0,,
252,State Bank Of India,2013-09-30 00:00:00,161.53,684033971,2,2013,339217.3,348249.1,23750.1,2013-11-22 12:17:03,0,,
253,Bajaj Finserv Ltd.,2013-12-31 00:00:00,74.2,159122352,3,2013,207.7,190.7,53.5,2014-01-15 00:00:00,1,,
254,L I C Housing Finance Ltd.,2013-12-31 00:00:00,219.2,504663000,3,2013,23427,20572.3,3265.9,2014-01-17 14:01:02,0,,
255,H D F C Bank Ltd.,2013-12-31 00:00:00,332.88,2394593545,3,2013,105906.8,104132.5,23257,2014-01-17 14:29:02,0,,
256,Housing Development Finance Corpn. Ltd.,2013-12-31 00:00:00,796.3,1559248440,3,2013,59851.8,47532.2,12777.1,2014-01-17 14:29:02,0,,
257,Kotak Mahindra Bank Ltd.,2013-09-30 00:00:00,338.7,768243055,2,2013,21723.3,21370.8,3525.4,2014-01-21 17:21:02,0,,
258,Canara Bank,2013-12-31 00:00:00,274.44,461258837,3,2013,100838.7,105259.4,4093.5,2014-02-01 15:29:02,0,,
259,I C I C I Bank Ltd.,2013-12-31 00:00:00,199.72,1154535873,3,2013,114549.5,117237.5,25322.1,2014-02-05 13:25:01,0,,
260,Bank Of Baroda,2013-12-31 00:00:00,129.15,421256303,3,2013,96907.3,95749.6,10478.4,2014-02-06 00:00:00,0,,
261,State Bank Of India,2013-12-31 00:00:00,176.55,684033971,3,2013,348531.2,368335.7,22343.4,2014-02-15 17:41:05,0,,
262,Max Financial Services Ltd.,2013-12-31 00:00:00,215.2,266076757,3,2013,2922.7,2194.4,736.8,2014-02-17 12:25:02,0,,
263,H D F C Bank Ltd.,2014-03-31 00:00:00,374.43,2399050435,4,2013,107885.6,104634.6,23265.2,2014-04-22 17:25:03,1,,
264,Housing Development Finance Corpn. Ltd.,2014-03-31 00:00:00,883.8,1560532605,4,2013,64927.2,49247.2,17231,2014-04-22 17:25:03,0,,
265,L I C Housing Finance Ltd.,2014-03-31 00:00:00,235.7,504663000,4,2013,24433.1,21301.2,3700.2,2014-04-28 12:33:03,0,,
266,I C I C I Bank Ltd.,2014-03-31 00:00:00,226.45,1154832769,4,2013,114892.5,118133.3,26520.1,2014-05-02 12:29:03,0,,
267,Canara Bank,2014-03-31 00:00:00,257.13,461258837,4,2013,105396.8,109988.9,6108.3,2014-05-05 17:37:02,0,,
268,Kotak Mahindra Bank Ltd.,2013-12-31 00:00:00,364.52,769117006,3,2013,21923,21520.3,3399.8,2014-05-07 15:21:02,0,,
269,Bank Of Baroda,2014-03-31 00:00:00,144.27,429415087,4,2013,102885.9,104575.8,11572.7,2014-05-13 00:00:00,0,,
270,Bajaj Finserv Ltd.,2014-03-31 00:00:00,79.02,159122352,4,2013,147.9,147,105.7,2014-05-14 00:00:00,0,,
271,Max Financial Services Ltd.,2014-03-31 00:00:00,207.9,266227257,4,2013,2142.7,2148.4,83.6,2014-05-30 16:09:01,0,,
272,State Bank Of India,2014-03-31 00:00:00,191.83,746573092,4,2013,358576.2,394025.3,30407.4,2014-06-03 13:57:03,0,,
273,Bajaj Finserv Ltd.,2014-06-30 00:00:00,93.55,159122352,1,2014,225.9,175.7,79.7,2014-07-16 00:00:00,1,,
274,Bajaj Finance Ltd.,2014-06-30 00:00:00,200.11,50142334,1,2014,12436.1,10346,2113.6,2014-07-16 00:00:00,0,,
275,Kotak Mahindra Bank Ltd.,2014-03-31 00:00:00,389,770311001,4,2013,22124.8,21807.2,4071.8,2014-07-16 16:01:02,0,,
276,H D F C Bank Ltd.,2014-06-30 00:00:00,410.68,2407696255,1,2014,112200.8,108376.1,22330.4,2014-07-21 14:05:03,0,,
277,Housing Development Finance Corpn. Ltd.,2014-06-30 00:00:00,990.65,1566949470,1,2014,64459.1,51231.6,13446.6,2014-07-21 14:05:03,0,,
278,Canara Bank,2014-06-30 00:00:00,449.57,461258837,1,2014,107011.1,109211.5,8068.6,2014-07-22 10:17:02,0,,
279,Bank Of Baroda,2014-06-30 00:00:00,175.43,429415087,1,2014,106579.6,103206.2,13618.8,2014-07-28 00:00:00,0,,
280,L I C Housing Finance Ltd.,2014-06-30 00:00:00,327.3,504663000,1,2014,25091.3,22212.8,3223.1,2014-08-05 14:21:01,0,,
281,I C I C I Bank Ltd.,2014-06-30 00:00:00,257.9,1156011729,1,2014,117669,119614.1,26553,2014-08-06 11:21:02,0,,
282,State Bank Of India,2014-06-30 00:00:00,268.59,746573092,1,2014,364871.2,373901.3,33490.8,2014-08-11 16:01:02,0,,
283,Max Financial Services Ltd.,2014-06-30 00:00:00,288.15,266295757,1,2014,1117.6,321.5,812.6,2014-08-21 16:01:02,0,,
284,Kotak Mahindra Bank Ltd.,2014-06-30 00:00:00,442.57,770467156,1,2014,22863.5,23080.4,4298,2014-09-11 17:09:02,0,,
285,Bajaj Finance Ltd.,2014-09-30 00:00:00,271.1,50142334,2,2014,12322.1,10446.8,1971.5,2014-10-14 00:00:00,1,,
286,Bajaj Finserv Ltd.,2014-09-30 00:00:00,112.95,159125184,2,2014,754.9,181.9,600.3,2014-10-14 00:00:00,0,,
287,H D F C Bank Ltd.,2014-09-30 00:00:00,435.75,2414322155,2,2014,118476.3,115132.7,23814.6,2014-10-22 12:25:02,0,,
288,Housing Development Finance Corpn. Ltd.,2014-09-30 00:00:00,1052.6,1568862770,2,2014,65327.1,53131.1,13575.6,2014-10-22 12:25:02,0,,
289,L I C Housing Finance Ltd.,2014-09-30 00:00:00,325.35,504663000,2,2014,26275.7,23363.7,3413.5,2014-10-27 11:21:02,0,,
290,Kotak Mahindra Bank Ltd.,2014-09-30 00:00:00,506.73,771334557,2,2014,23524.8,23846.2,4445.2,2014-10-28 13:13:02,0,,
291,I C I C I Bank Ltd.,2014-09-30 00:00:00,260.95,1157252235,2,2014,121505.6,121799.4,27090.1,2014-11-04 13:09:02,0,,
292,Bank Of Baroda,2015-09-30 00:00:00,183.3,2304159598,2,2015,111563.6,121759.2,1244.8,2014-11-06 00:00:00,1,,
293,Bank Of Baroda,2014-09-30 00:00:00,180.5,429415087,2,2014,108256.7,107131,11042.2,2014-11-10 00:00:00,0,,
294,Canara Bank,2014-09-30 00:00:00,340.68,461258837,2,2014,108938.7,112883.7,6268.4,2014-11-11 11:25:03,0,,
295,State Bank Of India,2014-09-30 00:00:00,244.24,746573092,2,2014,372626.1,387329.5,31004.1,2014-11-18 19:53:02,0,,
296,Max Financial Services Ltd.,2014-09-30 00:00:00,319.5,266492023,2,2014,148.9,262,-113,2014-11-21 16:01:02,0,,
297,Bajaj Finserv Ltd.,2014-12-31 00:00:00,131.15,159125184,3,2014,256.1,142.1,141.3,2015-01-14 00:00:00,1,,
298,Bajaj Finance Ltd.,2014-12-31 00:00:00,348.14,50147259,3,2014,14765.5,12270.1,2583.8,2015-01-14 00:00:00,0,,
299,L I C Housing Finance Ltd.,2014-12-31 00:00:00,435.8,504663000,3,2014,27001.6,23914.4,3443.5,2015-01-19 11:33:01,0,,
300,Kotak Mahindra Bank Ltd.,2014-12-31 00:00:00,631.58,771729618,3,2014,25001,25858.2,4645.2,2015-01-22 14:37:01,0,,
301,Bank Of Baroda,2014-12-31 00:00:00,216.9,429415087,3,2014,107179.9,114743.6,3339.8,2015-01-31 00:00:00,0,,
302,I C I C I Bank Ltd.,2014-12-31 00:00:00,320.91,5791523320,3,2014,124352.1,126378.4,28890.4,2015-02-04 11:21:01,0,,
303,State Bank Of India,2014-12-31 00:00:00,311.85,7465730920,3,2014,385461.7,408739.1,29100.6,2015-02-14 14:57:03,0,,
304,Canara Bank,2014-12-31 00:00:00,436.54,461258837,3,2014,110516.6,115718.9,6559.7,2015-02-15 00:00:00,0,,
305,Housing Development Finance Corpn. Ltd.,2014-12-31 00:00:00,1135,1572060365,3,2014,67583.6,54570.3,14254.9,2015-02-18 16:45:03,0,,
306,H D F C Bank Ltd.,2014-12-31 00:00:00,476,2417407625,3,2014,123958.3,121362.3,27945.1,2015-02-18 16:45:03,0,,
307,Max Financial Services Ltd.,2014-12-31 00:00:00,394.9,266492023,3,2014,1201.6,872.1,3292.3,2015-02-19 19:13:02,0,,
308,L I C Housing Finance Ltd.,2015-03-31 00:00:00,437.25,504663000,4,2014,28324.9,24824.1,3781.8,2015-04-20 14:09:03,1,,
309,H D F C Bank Ltd.,2015-03-31 00:00:00,511.43,2506495317,4,2014,130063.7,127632.2,28069.1,2015-04-24 11:45:03,0,,
310,Housing Development Finance Corpn. Ltd.,2015-03-31 00:00:00,1311.25,1574697670,4,2014,72229,55940,18624.3,2015-04-24 11:45:03,0,,
311,I C I C I Bank Ltd.,2015-03-31 00:00:00,286.64,5797244645,4,2014,127384.7,133127.3,29220,2015-04-30 11:37:03,0,,
312,Kotak Mahindra Bank Ltd.,2015-03-31 00:00:00,656.58,772352664,4,2014,25809.4,27219.5,5271.4,2015-05-07 15:49:03,0,,
313,Bank Of Baroda,2015-03-31 00:00:00,163.3,2211495906,4,2014,107619.3,114590.4,5983.5,2015-05-11 00:00:00,0,,
314,Bajaj Finance Ltd.,2015-03-31 00:00:00,409.63,50147259,4,2014,14294.3,12140.7,2309.8,2015-05-20 00:00:00,0,,
315,Bajaj Finserv Ltd.,2015-03-31 00:00:00,138.95,159125184,4,2014,765.5,357.6,438,2015-05-20 00:00:00,0,,
316,Canara Bank,2015-03-31 00:00:00,357.85,475196971,4,2014,111034,118162.5,6129.6,2015-05-25 00:00:00,0,,
317,State Bank Of India,2015-03-31 00:00:00,267,7465730920,4,2014,401011.6,448743.9,37420.2,2015-05-25 15:05:02,0,,
318,L I C Housing Finance Ltd.,2015-06-30 00:00:00,451.75,504663000,1,2015,29458.9,25833.3,3821.3,2015-07-21 14:04:08,1,,
319,Housing Development Finance Corpn. Ltd.,2015-06-30 00:00:00,1296.45,1576030605,1,2015,69955.2,56683.9,13609.8,2015-07-21 16:46:24,0,,
320,H D F C Bank Ltd.,2015-06-30 00:00:00,533.73,2511458217,1,2015,140410.6,138072.5,26957.2,2015-07-21 16:46:24,0,,
321,Bajaj Finance Ltd.,2015-06-30 00:00:00,545.66,53632775,1,2015,16462.1,13802.1,2756.3,2015-07-22 00:00:00,0,,
322,Bajaj Finserv Ltd.,2015-06-30 00:00:00,152.6,159125184,1,2015,367.2,254.9,135.9,2015-07-22 00:00:00,0,,
323,Bank Of Baroda,2015-06-30 00:00:00,144.2,2211495906,1,2015,112764.9,111915.7,10521.5,2015-07-30 00:00:00,0,,
324,I C I C I Bank Ltd.,2015-06-30 00:00:00,280,5804014135,1,2015,128125.6,128262.9,29761.6,2015-08-03 12:59:10,0,,
325,Kotak Mahindra Bank Ltd.,2015-06-30 00:00:00,693.88,912841920,1,2015,39914.3,43940.8,1897.8,2015-08-03 13:27:32,0,,
326,Canara Bank,2015-06-30 00:00:00,270.36,515196971,1,2015,111396.5,117738,4788.4,2015-08-05 00:00:00,0,,
327,Max Financial Services Ltd.,2015-06-30 00:00:00,483.65,266584023,1,2015,455.1,210.4,245.9,2015-08-13 15:35:34,0,,
328,State Bank Of India,2015-06-30 00:00:00,262.8,7566207932,1,2015,396428.9,410384.4,36924.3,2015-08-13 20:19:30,0,,
329,Bajaj Finserv Ltd.,2015-09-30 00:00:00,173.11,159125184,2,2015,949.2,252.4,718.6,2015-10-20 00:00:00,0,,
330,Bajaj Finance Ltd.,2015-09-30 00:00:00,509.78,53632775,2,2015,16799.3,14211.8,2793.9,2015-10-20 00:00:00,0,,
331,L I C Housing Finance Ltd.,2015-09-30 00:00:00,470.2,504663000,2,2015,30646.5,26776.2,4117.4,2015-10-20 13:57:28,0,,
332,Housing Development Finance Corpn. Ltd.,2015-09-30 00:00:00,1213.25,1577684750,2,2015,73595.6,58167.5,16045.6,2015-10-23 12:48:35,0,,
333,H D F C Bank Ltd.,2015-09-30 00:00:00,534.45,2518193217,2,2015,147725.2,144548.3,28694.5,2015-10-23 12:48:35,0,,
334,I C I C I Bank Ltd.,2015-09-30 00:00:00,245.68,5807681135,2,2015,130988.7,130761.1,30301.1,2015-11-03 18:52:28,0,,
335,Kotak Mahindra Bank Ltd.,2015-09-30 00:00:00,648.85,1830512584,2,2015,40056.5,40658.8,5695,2015-11-03 19:49:29,0,,
336,Canara Bank,2015-09-30 00:00:00,272.06,542991054,2,2015,112675,119490.9,5288.6,2015-11-05 00:00:00,0,,
337,Max Financial Services Ltd.,2015-09-30 00:00:00,511.15,266973249,2,2015,112.7,244.5,-130.7,2015-11-07 15:39:27,0,,
338,State Bank Of India,2015-09-30 00:00:00,237.25,7762777042,2,2015,406575.6,429757.4,38790.7,2015-11-07 17:36:42,0,,
339,L I C Housing Finance Ltd.,2015-12-31 00:00:00,508.6,504663000,3,2015,31392.2,27378,4189,2016-01-18 17:58:36,1,,
340,Kotak Mahindra Bank Ltd.,2015-12-31 00:00:00,718.55,1832499206,3,2015,41217,42091.4,6347.2,2016-01-18 18:34:14,0,,
341,I C I C I Bank Ltd.,2015-12-31 00:00:00,237.68,5812184730,3,2015,133460.7,145448.2,30181.3,2016-01-30 13:14:47,0,,
342,Bajaj Finserv Ltd.,2015-12-31 00:00:00,198.68,159131453,3,2015,281.6,202.3,102,2016-02-03 00:00:00,0,,
